"Product ID","Title","Tags","Matched Keywords","Matched Licensors","Winning Licensor","Winning Score","Reason"
"169522980","Pi Phi - Dash Pullover","GroupBuy, Pi Beta Phi, RTS","Pi Beta Phi, Beta","Pi Beta Phi, Beta Theta Pi","Pi Beta Phi","90","Highest score match"
"191898517","AXO Symphony Lyre Long Sleeve","Alpha Chi Omega, AXO Hidden, campaign_past_campaign, GroupBuy, past_campaign_temp","Alpha Chi Omega, Chi Omega","Alpha Chi Omega, Chi Omega","Alpha Chi Omega","90","Longest keyword wins tie-breaker"
"209758981","DG USA Slouchy Pullover","campaign_past_campaign, Delta Gamma, GroupBuy, past_campaign_temp","Delta Gamma","Delta Gamma","Delta Gamma","90","Highest score match"
"212022181","DG - Ombre Spirit Jersey","campaign_past_campaign, Delta Gamma, past_campaign_temp, University of Tampa","Delta Gamma","Delta Gamma","Delta Gamma","90","Highest score match"
"215889741","APHI - Spirit Jersey","Alpha Phi, campaign_past_campaign, GroupBuy, past_campaign_temp","Alpha Phi","Alpha Phi","Alpha Phi","90","Highest score match"
"217284325","Charcoal Grey Black Buette Crewneck Sweatshirt","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"221613573","Chi Omega Royals","campaign_past_campaign, past_campaign_temp","Chi Omega","Chi Omega","Chi Omega","100","Highest score match"
"222270941","Alpha Delta Pi Finest","campaign_past_campaign, past_campaign_temp","Alpha Delta Pi","Alpha Delta Pi","Alpha Delta Pi","100","Highest score match"
"222687629","DG - Anchor Love","Delta Gamma, q-zip, RTS, sale bin, Sweatshirt","Delta Gamma","Delta Gamma","Delta Gamma","90","Highest score match"
"222687653","DG - Nautical Hoodie","blackfriday2016, Clearance Bin, Delta Gamma, Hoodie, RTS, sale bin, saleaug2016, saleFEB2017","Delta Gamma","Delta Gamma","Delta Gamma","90","Highest score match"
"222687685","DG - Sugar Skull","Delta Gamma, RTS","Delta Gamma","Delta Gamma","Delta Gamma","90","Highest score match"
"222687729","DG Backless Anchors Tee","blackfriday2016, Clearance Bin, Clearance Permanent, Clearance Tee, Delta Gamma, RTS, saleaug2016, saleFEB2017, Shirt, SpringBreak2017, Tee","Delta Gamma","Delta Gamma","Delta Gamma","90","Highest score match"
"222712417","GPB Crescent","Gamma Phi Beta, RTS, shirt","Gamma Phi Beta, Beta","Gamma Phi Beta, Beta Theta Pi","Gamma Phi Beta","90","Highest score match"
"222712441","Kappa Yankees","AMG RTS, baseball, blackfriday2016, Clearance Bin, Clearance LS Crew, Clearance Permanent, Kappa Kappa Gamma, Long Sleeve, RTS, sale bin, saleaug2016, saleFEB2017, Shirt","Kappa Kappa Gamma","Kappa Kappa Gamma","Kappa Kappa Gamma","90","Highest score match"
"222712473","KKG Owl","Kappa Kappa Gamma, RTS","Kappa Kappa Gamma","Kappa Kappa Gamma","Kappa Kappa Gamma","90","Highest score match"
"222712481","KKG till the death of me","Kappa Kappa Gamma, RTS, Shirt","Kappa Kappa Gamma","Kappa Kappa Gamma","Kappa Kappa Gamma","90","Highest score match"
"222712493","Lambda Lover","RTS","Lambda","Lambda Chi Alpha","Lambda Chi Alpha","80","Highest score match"
"222712505","Phi Mu - Pink Carnations","Phi Mu, RTS","Phi Mu","Phi Mu","Phi Mu","100","Highest score match"
"222712521","Pi Phi Arrows","blackfriday2016, Clearance Bin, Clearance Permanent, Pi Beta Phi, RTS, sale bin, saleaug2016, saleFEB2017","Pi Beta Phi, Beta","Pi Beta Phi, Beta Theta Pi","Pi Beta Phi","90","Highest score match"
"222712545","Rush Pike","campaign_past_campaign, past_campaign_temp","PIKE","Pi Kappa Alpha","Pi Kappa Alpha","80","Highest score match"
"222712589","Sig Delt  Gold Letters","RTS, Sigma Delta Tau","Sigma Delta Tau","Sigma Delta Tau","Sigma Delta Tau","90","Highest score match"
"222712617","SK - You've Met Your Match","RTS, Sigma Kappa","Sigma Kappa","Sigma Kappa","Sigma Kappa","90","Highest score match"
"222712633","SK Feather Letters","Long Sleeve, RTS, sale bin, Sigma Kappa","Sigma Kappa","Sigma Kappa","Sigma Kappa","90","Highest score match"
"222712701","Theta Patriotic Racerback Tank","America, blackfriday2016, Hid 170502, Kappa Alpha Theta, RTS, sale bin, saleaug2016, saleFEB2017, Shirt, Tank","Kappa Alpha Theta","Kappa Alpha Theta","Kappa Alpha Theta","90","Highest score match"
"228497925","Kiss Me I'm a DG","campaign_past_campaign, Delta Gamma, GroupBuy, past_campaign_temp","Delta Gamma","Delta Gamma","Delta Gamma","90","Highest score match"
"229042309","TSL - Test Tank","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"229533253","Sigma Kappa Spirit Jersey","campaign_past_campaign, past_campaign_temp","Sigma Kappa","Sigma Kappa","Sigma Kappa","100","Highest score match"
"229558681","Sigma Kappa Spirit Jersey","campaign_past_campaign, past_campaign_temp, Sigma Kappa","Sigma Kappa","Sigma Kappa","Sigma Kappa","100","Highest score match"
"233145873","Winterfest Tanks","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"233146361","Winterfest Tanks - Alpha Sig","campaign_past_campaign, past_campaign_temp","Alpha Sig","Alpha Sigma Phi","Alpha Sigma Phi","80","Highest score match"
"234087965","SK - Pomona Racerback","campaign_past_campaign, past_campaign_temp","SK","Sigma Kappa","Sigma Kappa","80","Highest score match"
"235390033","Land of the Phi Boxy Tank","Alpha Phi, America, Crop, RTS, saleaug2016, Shirt, Tank, Trunk Show","Alpha Phi","Alpha Phi","Alpha Phi","90","Highest score match"
"235392221","APHI - Love Potion","Alpha Phi, Clearance Tank, HIDDENJUNE2017, RESTOCK, RTS, saleaug2016, saleFEB2017, Shirt, Tank","Alpha Phi","Alpha Phi","Alpha Phi","90","Highest score match"
"235393789","AXO - Tribal Letters Tank","Alpha Chi Omega, AMG RTS, AXO Hidden, RESTOCK, RTS, Spring Break, Tank","Alpha Chi Omega, Chi Omega","Alpha Chi Omega, Chi Omega","Alpha Chi Omega","90","Longest keyword wins tie-breaker"
"235395369","DG - Dream Catcher Slit Back","Delta Gamma, RTS","Delta Gamma","Delta Gamma","Delta Gamma","90","Highest score match"
"235396309","Just DG It Sporty Racerback","bring back, Delta Gamma, RESTOCK, RTS","Delta Gamma","Delta Gamma","Delta Gamma","90","Highest score match"
"235396957","DG - Lacey Anchor Tank","blackfriday2016, Clearance Tank, Delta Gamma, RESTOCK, RTS, saleaug2016, saleFEB2017, Shirt, SpringBreak2017, Tank","Delta Gamma","Delta Gamma","Delta Gamma","90","Highest score match"
"235398837","Tribal Anchor Pullover","Clearance LS Crew, Delta Gamma, RTS, sale bin, saleaug2016, saleFEB2017, Spring Break, Sweatshirt","Delta Gamma","Delta Gamma","Delta Gamma","90","Highest score match"
"235399553","Theta Cutoff Tank","Kappa Alpha Theta, RESTOCK, RTS, saleaug2016, Shirt, Tank, Trunk Show","Kappa Alpha Theta","Kappa Alpha Theta","Kappa Alpha Theta","90","Highest score match"
"235400693","KD - Aztec Tank","Kappa Delta, RTS, Tank","Kappa Delta","Kappa Delta","Kappa Delta","90","Highest score match"
"236634261","ADPI - Crop Tank","campaign_past_campaign, past_campaign_temp","ADPI","Alpha Delta Pi","Alpha Delta Pi","80","Highest score match"
"237155865","CornHole Tourney - Tee","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"237159365","CornHole Tourney - Racerback","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"237381913","DG - Neon Snapbacks!","campaign_past_campaign, Delta Gamma, past_campaign_temp","Delta Gamma","Delta Gamma","Delta Gamma","90","Highest score match"
"237978845","KAO Monogram Quarter Zip","campaign_past_campaign, past_campaign_temp","KAO","Kappa Alpha Theta","Kappa Alpha Theta","80","Highest score match"
"238056645","Shipwrecked CaboBandz","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"238060169","Kappa Alpha Phi Tank","campaign_past_campaign, past_campaign_temp","Alpha Phi","Alpha Phi","Alpha Phi","100","Highest score match"
"238723845","KKG Crew Sweatshirt","campaign_past_campaign, past_campaign_temp","KKG","Kappa Kappa Gamma","Kappa Kappa Gamma","80","Highest score match"
"238724857","Custom Pocket Spring Break Tank","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"238725637","Kappa Muscle Tank","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"238727569","Boxy Crop Tank","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"238738569","KKG Boyfriend Sweatshirt","campaign_past_campaign, Kappa Kappa Gamma, past_campaign_temp","Kappa Kappa Gamma","Kappa Kappa Gamma","Kappa Kappa Gamma","90","Highest score match"
"238739185","KKG Spring Break Tank","campaign_past_campaign, Kappa Kappa Gamma, past_campaign_temp","Kappa Kappa Gamma","Kappa Kappa Gamma","Kappa Kappa Gamma","90","Highest score match"
"238740153","KKG Muscle Tee","campaign_past_campaign, Kappa Kappa Gamma, past_campaign_temp","Kappa Kappa Gamma","Kappa Kappa Gamma","Kappa Kappa Gamma","90","Highest score match"
"238744637","Sigma Kappa Flowy Long Sleeve","campaign_past_campaign, past_campaign_temp","Sigma Kappa","Sigma Kappa","Sigma Kappa","100","Highest score match"
"239928249","DG USA Pullover","campaign_past_campaign, past_campaign_temp","DG","Delta Gamma","Delta Gamma","80","Highest score match"
"240621041","Phi Guy / Soccer shirts!","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"241013781","Custom Pocket Tank","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"241014313","Custom Pocket Tee","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"241015053","Triad Black Unisex Tank","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"241016093","Triad Power Washed Tank","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"241631469","Theta Date Tank","campaign_past_campaign, past_campaign_temp","THETA","Kappa Alpha Theta","Kappa Alpha Theta","80","Highest score match"
"241632305","NON Theta Date Tank","campaign_past_campaign, past_campaign_temp","THETA","Kappa Alpha Theta","Kappa Alpha Theta","80","Highest score match"
"241633349","NON Theta Date Racerback","campaign_past_campaign, past_campaign_temp","THETA","Kappa Alpha Theta","Kappa Alpha Theta","80","Highest score match"
"241634101","Theta Date Racerback","campaign_past_campaign, past_campaign_temp","THETA","Kappa Alpha Theta","Kappa Alpha Theta","80","Highest score match"
"241694477","DG - Woke Up Tank","campaign_past_campaign, past_campaign_temp","DG","Delta Gamma","Delta Gamma","80","Highest score match"
"241701101","DG - Woke Up Flawless","campaign_past_campaign, Delta Gamma, past_campaign_temp","Delta Gamma","Delta Gamma","Delta Gamma","90","Highest score match"
"241932985","Roll Wave Flowy Racer Tank","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"241942121","Just Cure It Tee","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"241942965","Just Cure It V-neck","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"241944841","Just Cure It Crewneck","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"241961261","AXO Charcoal Heather Quarter Zip","campaign_past_campaign, past_campaign_temp","AXO","Alpha Chi Omega","Alpha Chi Omega","80","Highest score match"
"244084225","Spring Break Muscle Tee","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"245086829","Hera Day Lyre V-Neck","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"245094001","Hera Day Lyre V-Neck","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"246090481","Do Good V-Neck","campaign_past_campaign, Delta Gamma, past_campaign_temp","Delta Gamma","Delta Gamma","Delta Gamma","90","Highest score match"
"246094529","DG Love HP Simple Tee","campaign_past_campaign, Delta Gamma, past_campaign_temp","Delta Gamma","Delta Gamma","Delta Gamma","90","Highest score match"
"248466153","Theta Republic - Flowy Vneck","campaign_past_campaign, Kappa Alpha Theta, past_campaign_temp","Kappa Alpha Theta","Kappa Alpha Theta","Kappa Alpha Theta","90","Highest score match"
"248471985","UCI Theta Republic - Flowy Vneck","campaign_past_campaign, past_campaign_temp","THETA","Kappa Alpha Theta","Kappa Alpha Theta","80","Highest score match"
"248650377","Aphi CaboBandz!","Alpha Phi, Cabobandz, Spring Break","Alpha Phi","Alpha Phi","Alpha Phi","90","Highest score match"
"248651473","Theta CaboBandz!","Cabobandz, Kappa Alpha Theta, Shirt, Spring Break","Kappa Alpha Theta","Kappa Alpha Theta","Kappa Alpha Theta","90","Highest score match"
"248651869","AXO CaboBandz!","Alpha Chi Omega, AXO Hidden, Cabobandz, Spring Break","Alpha Chi Omega, Chi Omega","Alpha Chi Omega, Chi Omega","Alpha Chi Omega","90","Longest keyword wins tie-breaker"
"248652237","DG CaboBandz!","Cabobandz, Delta Gamma, Spring Break","Delta Gamma","Delta Gamma","Delta Gamma","90","Highest score match"
"248652825","KKG CaboBandz!","Cabobandz, Kappa Kappa Gamma, Spring Break","Kappa Kappa Gamma","Kappa Kappa Gamma","Kappa Kappa Gamma","90","Highest score match"
"248653185","Pi Phi CaboBandz!","Cabobandz, Pi Beta Phi, Spring Break","Pi Beta Phi, Beta","Pi Beta Phi, Beta Theta Pi","Pi Beta Phi","90","Highest score match"
"248654653","Sigma Kappa CaboBandz!","Cabobandz, Sigma Kappa, Spring Break","Sigma Kappa","Sigma Kappa","Sigma Kappa","100","Highest score match"
"248665277","Theta - Bout that Life","campaign_past_campaign, Kappa Alpha Theta, past_campaign_temp","Kappa Alpha Theta","Kappa Alpha Theta","Kappa Alpha Theta","90","Highest score match"
"248668985","DG - Sail Away Muscle Tank","campaign_past_campaign, Delta Gamma, past_campaign_temp","Delta Gamma","Delta Gamma","Delta Gamma","90","Highest score match"
"248670049","APHI - Neon Heart Tank","Alpha Phi, campaign_past_campaign, past_campaign_temp","Alpha Phi","Alpha Phi","Alpha Phi","90","Highest score match"
"248670709","AXO - Sun Fun Racerback","Alpha Chi Omega, AXO Hidden, campaign_past_campaign, past_campaign_temp","Alpha Chi Omega, Chi Omega","Alpha Chi Omega, Chi Omega","Alpha Chi Omega","90","Longest keyword wins tie-breaker"
"248670729","Theta Hawaiian 5 Panel","campaign_past_campaign, Kappa Alpha Theta, past_campaign_temp","Kappa Alpha Theta","Kappa Alpha Theta","Kappa Alpha Theta","90","Highest score match"
"248673629","Sigma Kappa At Heart","Sigma Kappa, Spring Break","Sigma Kappa","Sigma Kappa","Sigma Kappa","100","Highest score match"
"248674477","Cabo Spring Break Official Tank","ALL, campaign_past_campaign, General, past_campaign_temp","","","Various","0","No matching keywords found"
"248688101","KKG Red Floral 5 Panel","campaign_past_campaign, Kappa Kappa Gamma, past_campaign_temp","Kappa Kappa Gamma","Kappa Kappa Gamma","Kappa Kappa Gamma","90","Highest score match"
"248730029","Sigma Kappa - Snapbacks","Sigma Kappa","Sigma Kappa","Sigma Kappa","Sigma Kappa","100","Highest score match"
"248986229","AXO Foil Flowy Racerback Tank","campaign_past_campaign, past_campaign_temp","AXO","Alpha Chi Omega","Alpha Chi Omega","80","Highest score match"
"248995861","AXO Gold Foil Flowy Racerback Tank","Alpha Chi Omega, AXO Hidden, campaign_past_campaign, past_campaign_temp","Alpha Chi Omega, Chi Omega","Alpha Chi Omega, Chi Omega","Alpha Chi Omega","90","Longest keyword wins tie-breaker"
"249275689","Viva La KKG!","Kappa Kappa Gamma","Kappa Kappa Gamma","Kappa Kappa Gamma","Kappa Kappa Gamma","90","Highest score match"
"249286129","Vandal Friday ""Ramones"" Dolman","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"249297445","Top Gun Tank","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"249844777","UCI Theta x Disneyland Racerback","campaign_past_campaign, past_campaign_temp","THETA","Kappa Alpha Theta","Kappa Alpha Theta","80","Highest score match"
"250353301","KKG Michigan St. Pattys","campaign_past_campaign, past_campaign_temp","KKG","Kappa Kappa Gamma","Kappa Kappa Gamma","80","Highest score match"
"250357137","Aphi Flowy Spring Break Tank","campaign_past_campaign, past_campaign_temp","APHI","Alpha Phi","Alpha Phi","80","Highest score match"
"254903165","USC KKG Red Floral 5 Panel","campaign_past_campaign, past_campaign_temp","KKG","Kappa Kappa Gamma","Kappa Kappa Gamma","80","Highest score match"
"254903893","USC KKG CaboBandz!","campaign_past_campaign, past_campaign_temp","KKG","Kappa Kappa Gamma","Kappa Kappa Gamma","80","Highest score match"
"254913657","All Good Things Muscle Tank","ALL, campaign_past_campaign, General, past_campaign_temp","","","Various","0","No matching keywords found"
"255002625","U of A Sigma Kappa CaboBandz","campaign_past_campaign, past_campaign_temp","Sigma Kappa","Sigma Kappa","Sigma Kappa","100","Highest score match"
"255987397","APHI - Letters Long Sleeve","Alpha Phi, campaign_past_campaign, GroupBuy, past_campaign_temp","Alpha Phi","Alpha Phi","Alpha Phi","90","Highest score match"
"256990001","Theta Cali Flag","campaign_past_campaign, past_campaign_temp","THETA","Kappa Alpha Theta","Kappa Alpha Theta","80","Highest score match"
"256995337","Theta Loving Tank","campaign_past_campaign, past_campaign_temp","THETA","Kappa Alpha Theta","Kappa Alpha Theta","80","Highest score match"
"257016765","Theta Lovin Tank GB","campaign_past_campaign, Kappa Alpha Theta, past_campaign_temp","Kappa Alpha Theta","Kappa Alpha Theta","Kappa Alpha Theta","90","Highest score match"
"257350233","Marilyn Crewneck Sweatshirt - Black","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"257351849","Marilyn Crewneck Sweatshirt - Red","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"258380169","Phi Ball Triblend Racerback","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"258402201","Chi O Long Sleeve Pocket Tee","campaign_past_campaign, past_campaign_temp","Chi O","Chi Omega","Chi Omega","80","Highest score match"
"258418933","Greek Week Racerback Tank","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"258420721","Greek Week Bro Tank","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"261302153","UCSB Tri Delt - Shoot for the Stars","campaign_past_campaign, past_campaign_temp","Tri Delt","Delta Delta Delta","Delta Delta Delta","80","Highest score match"
"261836657","Aphi WSU Crew Sweatshirt","campaign_past_campaign, past_campaign_temp","APHI","Alpha Phi","Alpha Phi","80","Highest score match"
"261839565","Aphi WSU Zip Hoodie - Red","campaign_past_campaign, past_campaign_temp","APHI","Alpha Phi","Alpha Phi","80","Highest score match"
"261848829","Aphi WSU Zip Hoodie - Slate","campaign_past_campaign, past_campaign_temp","APHI","Alpha Phi","Alpha Phi","80","Highest score match"
"261862465","TriDelt Neon Spring Break Tank","campaign_past_campaign, Delta Delta Delta, GroupBuy, past_campaign_temp","Delta Delta Delta","Delta Delta Delta","Delta Delta Delta","90","Highest score match"
"261981809","Sigma Chi - Mom's Weekend","campaign_past_campaign, past_campaign_temp","Sigma Chi","Sigma Chi","Sigma Chi","100","Highest score match"
"262047865","Phi Ball Bro Tank","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"262316797","Spring Break FOREVER Tank","campaign_past_campaign, General, past_campaign_temp","","","Various","0","No matching keywords found"
"262344077","UCLA Tri Delt - Shoot for the Stars","campaign_past_campaign, past_campaign_temp","Tri Delt","Delta Delta Delta","Delta Delta Delta","80","Highest score match"
"264945949","Amherst Greek Week Jerseys","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"265324009","Phiesta Fanny Pack","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"265342953","Pi Phi Big/Little Simple Tee","campaign_past_campaign, past_campaign_temp","Pi Phi","Pi Beta Phi","Pi Beta Phi","80","Highest score match"
"266461401","Coachella Flowy Muscle Tank","ALL, campaign_past_campaign, General, past_campaign_temp","","","Various","0","No matching keywords found"
"266488737","APHI - Let It Be V-Neck","Alpha Phi, campaign_past_campaign, past_campaign_temp","Alpha Phi","Alpha Phi","Alpha Phi","90","Highest score match"
"266515265","Coachella Phone Case","ALL, campaign_past_campaign, General, past_campaign_temp","","","Various","0","No matching keywords found"
"266560893","ASU Greek Week - Delta Chi","campaign_past_campaign, past_campaign_temp","Delta Chi","Delta Chi","Delta Chi","100","Highest score match"
"266561741","ASU Greek Week - Sigma Kappa","campaign_past_campaign, past_campaign_temp","Sigma Kappa","Sigma Kappa","Sigma Kappa","100","Highest score match"
"266562369","ASU Greek Week - Theta Delta Chi","campaign_past_campaign, past_campaign_temp","Delta Chi","Delta Chi","Delta Chi","100","Highest score match"
"268816545","Anchorbowl AA Unisex Tank","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"269174289","APHI - Crest 1/4 Zip Sweatshirt","campaign_past_campaign, past_campaign_temp","APHI","Alpha Phi","Alpha Phi","80","Highest score match"
"269793265","Beta D Lake 1/4 Zip Sweatshirt","campaign_past_campaign, past_campaign_temp","Beta","Beta Theta Pi","Beta Theta Pi","80","Highest score match"
"269793481","Beta D Lake Hooded Sweatshirt","campaign_past_campaign, past_campaign_temp","Beta","Beta Theta Pi","Beta Theta Pi","80","Highest score match"
"270331881","Kat at Bat - Flowy Racerback","campaign_past_campaign, past_campaign_temp","KAT","Kappa Alpha Theta","Kappa Alpha Theta","80","Highest score match"
"270333901","Kat at Bat - Bro Tank","campaign_past_campaign, past_campaign_temp","KAT","Kappa Alpha Theta","Kappa Alpha Theta","80","Highest score match"
"271460433","LCA Watermelon Bust Racerback Tank","campaign_past_campaign, past_campaign_temp","LCA","Lambda Chi Alpha","Lambda Chi Alpha","80","Highest score match"
"271478573","Theta - Wonka Skit Shirts","campaign_past_campaign, past_campaign_temp","THETA","Kappa Alpha Theta","Kappa Alpha Theta","80","Highest score match"
"272783369","Anchorbowl Crop Tank II","campaign_past_campaign, past_campaign_temp","","","Various","0","No matching keywords found"
"274422285","Sig Ep Regatta Tank","campaign_past_campaign, past_campaign_temp","SIG EP","Sigma Phi Epsilon","Sigma Phi Epsilon","80","Highest score match"
"275369573","Alpha Phi Let It Be V-Neck","campaign_past_campaign, past_campaign_temp","Alpha Phi","Alpha Phi","Alpha Phi","100","Highest score match"
"276315821","Aphi UCSB Spring Pocket Tee","campaign_past_campaign, past_campaign_temp","APHI","Alpha Phi","Alpha Phi","80","Highest score match"
"276318609","Aphi UCSB White Pocket Tank","campaign_past_campaign, past_campaign_temp","APHI","Alpha Phi","Alpha Phi","80","Highest score match"
"276372049","Aphi UCSB Spring Bro Tank","campaign_past_campaign, past_campaign_temp","APHI","Alpha Phi","Alpha Phi","80","Highest score match"
"277443169","DG Flowy V-Neck Tank","campaign_past_campaign, past_campaign_temp","DG","Delta Gamma","Delta Gamma","80","Highest score match"
"278009593","Classic Pike Tank - Pink","campaign_past_campaign, past_campaign_temp","PIKE","Pi Kappa Alpha","Pi Kappa Alpha","80","Highest score match"
"278010665","Classic Pike Tank - Red","campaign_past_campaign, past_campaign_temp","PIKE","Pi Kappa Alpha","Pi Kappa Alpha","80","Highest score match"
"278011501","Classic Pike Tank - Black","campaign_past_campaign, past_campaign_temp","PIKE","Pi Kappa Alpha","Pi Kappa Alpha","80","Highest score match"
"278012489","Classic Pike Tank - Grey","campaign_past_campaign, past_campaign_temp","PIKE","Pi Kappa Alpha","Pi Kappa Alpha","80","Highest score match"
"278105421","Stagecoach Flowy Muscle Tank","campaign_past_campaign, General, past_campaign_temp","","","Various","0","No matching keywords found"
"278135969","AXO -  Tribal Off the Shoulder Sweatshirt","Alpha Chi Omega, AXO Hidden, instagram, RESTOCK, RTS","Alpha Chi Omega, Chi Omega","Alpha Chi Omega, Chi Omega","Alpha Chi Omega","90","Longest keyword wins tie-breaker"
"278152497","AXO - Tribal Unisex Tank","Alpha Chi Omega, instagram, RTS, Tee","Alpha Chi Omega, Chi Omega","Alpha Chi Omega, Chi Omega","Alpha Chi Omega","90","Longest keyword wins tie-breaker"
"278181533","AXO - Skull Crop","Alpha Chi Omega, RTS, Tee","Alpha Chi Omega, Chi Omega","Alpha Chi Omega, Chi Omega","Alpha Chi Omega","90","Longest keyword wins tie-breaker"
"278211461","Coachella Flowy Muscle Tank","ALL, General, Instagram, RTS","","","Various","0","No matching keywords found"
"278259369","Always Alpha Chi","Alpha Chi Omega, blackfriday2016, Clearance Tank, Festival, RTS, saleaug2016, saleFEB2017, SpringBreak2017, Tank","Alpha Chi Omega, Chi Omega","Alpha Chi Omega, Chi Omega","Alpha Chi Omega","90","Longest keyword wins tie-breaker"
